year,scenario,county_id,county_name,state,mean_annual_temp_c,min_temp_c,max_temp_c,temp_range_c,temp_std_c,days_below_freezing,days_above_30c,growing_degree_days,cooling_degree_days,heating_degree_days
2064,historical,15007,Kauai,,25.994998931884766,23.441755294799805,28.44866180419922,5.006906509399414,1.273219347000122,0,0,5838.1748046875,2918.1748046875,0.0
2065,historical,15007,Kauai,,25.657512664794922,21.41081428527832,28.907230377197266,7.496416091918945,1.6588923931121826,0,0,5714.9921875,2794.9921875,0.0
2066,historical,15007,Kauai,,25.772714614868164,20.78135871887207,28.845821380615234,8.064462661743164,1.9501899480819702,0,0,5757.04052734375,2837.040771484375,0.0
2067,historical,15007,Kauai,,25.953258514404297,20.94066047668457,29.047576904296875,8.106916427612305,1.8648648262023926,0,0,5822.939453125,2902.939453125,0.0
2068,historical,15007,Kauai,,26.492198944091797,21.640451431274414,29.156667709350586,7.516216278076172,1.5095890760421753,0,0,6019.65234375,3099.652587890625,0.0
2069,historical,15007,Kauai,,26.20051383972168,22.06740951538086,29.75339698791504,7.68598747253418,2.106213331222534,0,0,5913.1865234375,2993.18701171875,0.0
2070,historical,15007,Kauai,,25.698083877563477,20.813385009765625,28.619550704956055,7.80616569519043,1.7607513666152954,0,0,5729.80078125,2809.80078125,0.0
2071,historical,15007,Kauai,,27.072307586669922,21.807865142822266,30.774240493774414,8.966375350952148,1.9575598239898682,0,14,6231.392578125,3311.392578125,0.0
2072,historical,15007,Kauai,,26.112836837768555,21.484466552734375,29.413997650146484,7.929531097412109,2.0978729724884033,0,0,5881.1845703125,2961.18505859375,0.0
2073,historical,15007,Kauai,,26.51610565185547,22.673322677612305,29.13920021057129,6.465877532958984,1.5171562433242798,0,0,6028.3798828125,3108.3798828125,0.0
2074,historical,15007,Kauai,,26.764741897583008,22.79877471923828,29.639177322387695,6.840402603149414,1.7013014554977417,0,0,6119.130859375,3199.130859375,0.0
2075,historical,15007,Kauai,,27.045312881469727,23.77932357788086,29.977731704711914,6.198408126831055,1.5218430757522583,0,0,6221.5400390625,3301.53955078125,0.0
2076,historical,15007,Kauai,,26.069414138793945,21.93002700805664,28.274478912353516,6.344451904296875,1.4188228845596313,0,0,5865.3359375,2945.336181640625,0.0
2077,historical,15007,Kauai,,26.434947967529297,23.026601791381836,28.884565353393555,5.857963562011719,1.3737914562225342,0,0,5998.75537109375,3078.755859375,0.0
2078,historical,15007,Kauai,,26.40723991394043,22.609968185424805,28.48914337158203,5.879175186157227,1.1144952774047852,0,0,5988.642578125,3068.642822265625,0.0
2079,historical,15007,Kauai,,26.715486526489258,23.884721755981445,29.423784255981445,5.5390625,1.293967843055725,0,0,6101.15185546875,3181.15185546875,0.0
2080,historical,15007,Kauai,,25.990495681762695,22.076385498046875,29.12749481201172,7.051109313964844,1.8681086301803589,0,0,5836.53125,2916.531494140625,0.0
2081,historical,15007,Kauai,,26.988130569458008,22.095829010009766,30.544660568237305,8.448831558227539,2.076871633529663,0,9,6200.66796875,3280.66796875,0.0
2082,historical,15007,Kauai,,27.319263458251953,22.89161491394043,30.09499740600586,7.20338249206543,1.7184858322143555,0,2,6321.53125,3401.53125,0.0
2083,historical,15007,Kauai,,27.255592346191406,22.86452293395996,30.41391944885254,7.549396514892578,1.9946931600570679,0,23,6298.29150390625,3378.291259765625,0.0
2084,historical,15007,Kauai,,27.23727035522461,22.44412612915039,30.04144287109375,7.597316741943359,1.7887787818908691,0,1,6291.6044921875,3371.6044921875,0.0
2085,historical,15007,Kauai,,27.34786033630371,21.45358657836914,29.992652893066406,8.539066314697266,1.5465868711471558,0,0,6331.96875,3411.968505859375,0.0
2086,historical,15007,Kauai,,26.84334373474121,22.934288024902344,29.103769302368164,6.16948127746582,1.3755038976669312,0,0,6147.8203125,3227.8203125,0.0
2087,historical,15007,Kauai,,27.655040740966797,23.018911361694336,30.87598419189453,7.857072830200195,1.7614701986312866,0,28,6444.0908203125,3524.090576171875,0.0
2088,historical,15007,Kauai,,27.241146087646484,22.792503356933594,30.574039459228516,7.781536102294922,1.9254590272903442,0,14,6293.017578125,3373.017822265625,0.0
2089,historical,15007,Kauai,,26.83892822265625,21.245880126953125,30.088361740112305,8.84248161315918,2.167368173599243,0,2,6146.2080078125,3226.208251953125,0.0
